party_reset = .text:0x00000000; // type:function size:0x4C
str_000002F8 = .rodata:0x000002F8; // type:object size:0x8 scope:local data:string
str_00000300 = .rodata:0x00000300; // type:object size:0x8 scope:local data:string
str_00000308 = .rodata:0x00000308; // type:object size:0x8 scope:local data:string
str_00000310 = .rodata:0x00000310; // type:object size:0x8 scope:local data:string
str_00000318 = .rodata:0x00000318; // type:object size:0x8 scope:local data:string
str_00000320 = .rodata:0x00000320; // type:object size:0x8 scope:local data:string
str_00000328 = .rodata:0x00000328; // type:object size:0x8 scope:local data:string
str_00000330 = .rodata:0x00000330; // type:object size:0xC scope:local data:string
str_0000033C = .rodata:0x0000033C; // type:object size:0x14 scope:local data:string
str_00000350 = .rodata:0x00000350; // type:object size:0xC scope:local data:string
str_0000035C = .rodata:0x0000035C; // type:object size:0x4 scope:local data:string
str_00000360 = .rodata:0x00000360; // type:object size:0x10 scope:local data:string
str_00000370 = .rodata:0x00000370; // type:object size:0x4 scope:local data:string
str_00000374 = .rodata:0x00000374; // type:object size:0xC scope:local data:string
str_00000380 = .rodata:0x00000380; // type:object size:0xC scope:local data:string
str_0000038C = .rodata:0x0000038C; // type:object size:0xC scope:local data:string
str_00000398 = .rodata:0x00000398; // type:object size:0xC scope:local data:string
str_000003A4 = .rodata:0x000003A4; // type:object size:0xC scope:local data:string
str_000003B0 = .rodata:0x000003B0; // type:object size:0x10 scope:local data:string
str_000003C0 = .rodata:0x000003C0; // type:object size:0x10 scope:local data:string
str_000003D0 = .rodata:0x000003D0; // type:object size:0x8 scope:local data:string
str_000003D8 = .rodata:0x000003D8; // type:object size:0x8 scope:local data:string
str_000003E0 = .rodata:0x000003E0; // type:object size:0x8 scope:local data:string
str_000003E8 = .rodata:0x000003E8; // type:object size:0x8 scope:local data:string
str_000003F0 = .rodata:0x000003F0; // type:object size:0x8 scope:local data:string
str_000003F8 = .rodata:0x000003F8; // type:object size:0x8 scope:local data:string
str_00000400 = .rodata:0x00000400; // type:object size:0x8 scope:local data:string
str_00000408 = .rodata:0x00000408; // type:object size:0x8 scope:local data:string
str_00000410 = .rodata:0x00000410; // type:object size:0x4 scope:local data:string
str_00000414 = .rodata:0x00000414; // type:object size:0x8 scope:local data:string
str_0000041C = .rodata:0x0000041C; // type:object size:0x8 scope:local data:string
str_00000424 = .rodata:0x00000424; // type:object size:0x8 scope:local data:string
str_0000042C = .rodata:0x0000042C; // type:object size:0x8 scope:local data:string
str_00000434 = .rodata:0x00000434; // type:object size:0x14 scope:local data:string
str_00000448 = .rodata:0x00000448; // type:object size:0x8 scope:local data:string
str_00000450 = .rodata:0x00000450; // type:object size:0x10 scope:local data:string
str_00000460 = .rodata:0x00000460; // type:object size:0x10 scope:local data:string
str_00000470 = .rodata:0x00000470; // type:object size:0x10 scope:local data:string
str_00000480 = .rodata:0x00000480; // type:object size:0x10 scope:local data:string
str_00000490 = .rodata:0x00000490; // type:object size:0x10 scope:local data:string
str_000004A0 = .rodata:0x000004A0; // type:object size:0x10 scope:local data:string
str_000004B0 = .rodata:0x000004B0; // type:object size:0x10 scope:local data:string
str_000004C0 = .rodata:0x000004C0; // type:object size:0x8 scope:local data:string
str_000004C8 = .rodata:0x000004C8; // type:object size:0x10 scope:local data:string
str_000004D8 = .rodata:0x000004D8; // type:object size:0x10 scope:local data:string
str_000004E8 = .rodata:0x000004E8; // type:object size:0x8 scope:local data:string
double_0p21817_moo_000035e0 = .rodata:0x000004F0; // type:object size:0x8 align:8 data:double
float_1024_moo_000035e8 = .rodata:0x000004F8; // type:object size:0x4 align:4 data:float
float_240_moo_000035ec = .rodata:0x000004FC; // type:object size:0x4 align:4 data:float
float_0p5_moo_000035f0 = .rodata:0x00000500; // type:object size:0x4 align:4 data:float
float_10_moo_000035f4 = .rodata:0x00000504; // type:object size:0x4 align:4 data:float
double_360_moo_000035f8 = .rodata:0x00000508; // type:object size:0x8 align:8 data:double
str_00000510 = .rodata:0x00000510; // type:object size:0x8 scope:local data:string
str_00000518 = .rodata:0x00000518; // type:object size:0x8 scope:local data:string
str_00000520 = .rodata:0x00000520; // type:object size:0x4 scope:local data:string
str_00000524 = .rodata:0x00000524; // type:object size:0x8 scope:local data:string
str_0000052C = .rodata:0x0000052C; // type:object size:0x8 scope:local data:string
str_00000534 = .rodata:0x00000534; // type:object size:0x8 scope:local data:string
str_0000053C = .rodata:0x0000053C; // type:object size:0x8 scope:local data:string
str_00000544 = .rodata:0x00000544; // type:object size:0x14 scope:local data:string
str_00000558 = .rodata:0x00000558; // type:object size:0x8 scope:local data:string
str_00000560 = .rodata:0x00000560; // type:object size:0x8 scope:local data:string
str_00000568 = .rodata:0x00000568; // type:object size:0x8 scope:local data:string
str_00000570 = .rodata:0x00000570; // type:object size:0x14 scope:local data:string
str_00000584 = .rodata:0x00000584; // type:object size:0x14 scope:local data:string
str_00000598 = .rodata:0x00000598; // type:object size:0x10 scope:local data:string
str_000005A8 = .rodata:0x000005A8; // type:object size:0x8 scope:local data:string
str_000005B0 = .rodata:0x000005B0; // type:object size:0x8 scope:local data:string
str_000005B8 = .rodata:0x000005B8; // type:object size:0x10 scope:local data:string
str_000005C8 = .rodata:0x000005C8; // type:object size:0x8 scope:local data:string
str_000005D0 = .rodata:0x000005D0; // type:object size:0x8 scope:local data:string
str_000005D8 = .rodata:0x000005D8; // type:object size:0xC scope:local data:string
str_000005E4 = .rodata:0x000005E4; // type:object size:0x10 scope:local data:string
str_000005F4 = .rodata:0x000005F4; // type:object size:0x10 scope:local data:string
str_00000604 = .rodata:0x00000604; // type:object size:0xC scope:local data:string
str_00000610 = .rodata:0x00000610; // type:object size:0xC scope:local data:string
str_0000061C = .rodata:0x0000061C; // type:object size:0x8 scope:local data:string
str_00000624 = .rodata:0x00000624; // type:object size:0x10 scope:local data:string
str_00000634 = .rodata:0x00000634; // type:object size:0x4 scope:local data:string
str_00000638 = .rodata:0x00000638; // type:object size:0x8 scope:local data:string
float_0p5_moo_00003730 = .rodata:0x00000640; // type:object size:0x4 align:4 data:float
float_10_moo_00003734 = .rodata:0x00000644; // type:object size:0x4 align:4 data:float
double_360_moo_00003738 = .rodata:0x00000648; // type:object size:0x8 align:8 data:double
str_00000650 = .rodata:0x00000650; // type:object size:0x8 scope:local data:string
str_00000658 = .rodata:0x00000658; // type:object size:0x8 scope:local data:string
str_00000660 = .rodata:0x00000660; // type:object size:0x8 scope:local data:string
str_00000668 = .rodata:0x00000668; // type:object size:0x8 scope:local data:string
str_00000670 = .rodata:0x00000670; // type:object size:0x8 scope:local data:string
str_00000678 = .rodata:0x00000678; // type:object size:0x8 scope:local data:string
str_00000680 = .rodata:0x00000680; // type:object size:0x8 scope:local data:string
str_00000688 = .rodata:0x00000688; // type:object size:0x8 scope:local data:string
str_00000690 = .rodata:0x00000690; // type:object size:0x4 scope:local data:string
str_00000698 = .rodata:0x00000698; // type:object size:0x4 scope:local data:string
str_0000069C = .rodata:0x0000069C; // type:object size:0x8 scope:local data:string
str_000006A4 = .rodata:0x000006A4; // type:object size:0x8 scope:local data:string
str_000006AC = .rodata:0x000006AC; // type:object size:0x8 scope:local data:string
str_000006B4 = .rodata:0x000006B4; // type:object size:0x8 scope:local data:string
str_000006BC = .rodata:0x000006BC; // type:object size:0x8 scope:local data:string
str_000006C4 = .rodata:0x000006C4; // type:object size:0xC scope:local data:string
str_000006D0 = .rodata:0x000006D0; // type:object size:0x10 scope:local data:string
str_000006E0 = .rodata:0x000006E0; // type:object size:0x14 scope:local data:string
str_000006F4 = .rodata:0x000006F4; // type:object size:0x10 scope:local data:string
str_00000704 = .rodata:0x00000704; // type:object size:0x14 scope:local data:string
str_00000718 = .rodata:0x00000718; // type:object size:0x10 scope:local data:string
str_00000728 = .rodata:0x00000728; // type:object size:0x10 scope:local data:string
str_00000738 = .rodata:0x00000738; // type:object size:0x10 scope:local data:string
str_00000748 = .rodata:0x00000748; // type:object size:0x10 scope:local data:string
str_00000758 = .rodata:0x00000758; // type:object size:0x10 scope:local data:string
str_00000768 = .rodata:0x00000768; // type:object size:0x10 scope:local data:string
str_00000778 = .rodata:0x00000778; // type:object size:0x10 scope:local data:string
str_00000788 = .rodata:0x00000788; // type:object size:0x10 scope:local data:string
str_00000798 = .rodata:0x00000798; // type:object size:0x10 scope:local data:string
str_000007A8 = .rodata:0x000007A8; // type:object size:0x10 scope:local data:string
str_000007B8 = .rodata:0x000007B8; // type:object size:0x10 scope:local data:string
str_000007C8 = .rodata:0x000007C8; // type:object size:0x10 scope:local data:string
str_000007D8 = .rodata:0x000007D8; // type:object size:0x10 scope:local data:string
str_000007E8 = .rodata:0x000007E8; // type:object size:0x10 scope:local data:string
str_000007F8 = .rodata:0x000007F8; // type:object size:0x10 scope:local data:string
str_00000808 = .rodata:0x00000808; // type:object size:0x10 scope:local data:string
str_00000818 = .rodata:0x00000818; // type:object size:0x10 scope:local data:string
str_00000828 = .rodata:0x00000828; // type:object size:0x10 scope:local data:string
float_360_moo_00003928 = .rodata:0x00000838; // type:object size:0x4 align:4 data:float
double_to_int_moo_00003930 = .rodata:0x00000840; // type:object size:0x8 align:8 data:double
str_00000848 = .rodata:0x00000848; // type:object size:0x10 scope:local data:string
str_00000858 = .rodata:0x00000858; // type:object size:0x18 scope:local data:string
str_00000870 = .rodata:0x00000870; // type:object size:0x18 scope:local data:string
str_00000888 = .rodata:0x00000888; // type:object size:0x14 scope:local data:string
str_0000089C = .rodata:0x0000089C; // type:object size:0x1C scope:local data:string
str_000008B8 = .rodata:0x000008B8; // type:object size:0x8 scope:local data:string
str_000008C0 = .rodata:0x000008C0; // type:object size:0x8 scope:local data:string
str_000008C8 = .rodata:0x000008C8; // type:object size:0x8 scope:local data:string
str_000008D0 = .rodata:0x000008D0; // type:object size:0x8 scope:local data:string
str_000008D8 = .rodata:0x000008D8; // type:object size:0x8 scope:local data:string
str_000008E0 = .rodata:0x000008E0; // type:object size:0x8 scope:local data:string
str_000008E8 = .rodata:0x000008E8; // type:object size:0x8 scope:local data:string
str_000008F0 = .rodata:0x000008F0; // type:object size:0x8 scope:local data:string
str_000008F8 = .rodata:0x000008F8; // type:object size:0x8 scope:local data:string
str_00000900 = .rodata:0x00000900; // type:object size:0x8 scope:local data:string
str_00000908 = .rodata:0x00000908; // type:object size:0x8 scope:local data:string
str_00000910 = .rodata:0x00000910; // type:object size:0x8 scope:local data:string
str_00000918 = .rodata:0x00000918; // type:object size:0x8 scope:local data:string
str_00000920 = .rodata:0x00000920; // type:object size:0xC scope:local data:string
str_0000092C = .rodata:0x0000092C; // type:object size:0x14 scope:local data:string
str_00000940 = .rodata:0x00000940; // type:object size:0x14 scope:local data:string
str_00000954 = .rodata:0x00000954; // type:object size:0x14 scope:local data:string
str_00000968 = .rodata:0x00000968; // type:object size:0x18 scope:local data:string
str_00000980 = .rodata:0x00000980; // type:object size:0x18 scope:local data:string
zero_moo_00003a88 = .rodata:0x00000998; // type:object size:0x4 align:4 data:float
str_000009A0 = .rodata:0x000009A0; // type:object size:0x8 scope:local data:string
str_000009A8 = .rodata:0x000009A8; // type:object size:0x8 scope:local data:string
str_000009B0 = .rodata:0x000009B0; // type:object size:0x8 scope:local data:string
str_000009B8 = .rodata:0x000009B8; // type:object size:0x8 scope:local data:string
str_000009C0 = .rodata:0x000009C0; // type:object size:0x14 scope:local data:string
str_000009D4 = .rodata:0x000009D4; // type:object size:0xC scope:local data:string
str_000009E0 = .rodata:0x000009E0; // type:object size:0x4 scope:local data:string
str_000009E4 = .rodata:0x000009E4; // type:object size:0x10 scope:local data:string
str_000009F4 = .rodata:0x000009F4; // type:object size:0x4 scope:local data:string
str_000009F8 = .rodata:0x000009F8; // type:object size:0xC scope:local data:string
str_00000A04 = .rodata:0x00000A04; // type:object size:0xC scope:local data:string
str_00000A10 = .rodata:0x00000A10; // type:object size:0x10 scope:local data:string
str_00000A20 = .rodata:0x00000A20; // type:object size:0x10 scope:local data:string
str_00000A30 = .rodata:0x00000A30; // type:object size:0x8 scope:local data:string
str_00000A38 = .rodata:0x00000A38; // type:object size:0x8 scope:local data:string
str_00000A40 = .rodata:0x00000A40; // type:object size:0x8 scope:local data:string
str_00000A48 = .rodata:0x00000A48; // type:object size:0x8 scope:local data:string
str_00000A50 = .rodata:0x00000A50; // type:object size:0x8 scope:local data:string
str_00000A58 = .rodata:0x00000A58; // type:object size:0x8 scope:local data:string
str_00000A60 = .rodata:0x00000A60; // type:object size:0x8 scope:local data:string
str_00000A68 = .rodata:0x00000A68; // type:object size:0x14 scope:local data:string
str_00000A7C = .rodata:0x00000A7C; // type:object size:0xC scope:local data:string
str_00000A88 = .rodata:0x00000A88; // type:object size:0x4 scope:local data:string
str_00000A8C = .rodata:0x00000A8C; // type:object size:0x10 scope:local data:string
str_00000A9C = .rodata:0x00000A9C; // type:object size:0x4 scope:local data:string
str_00000AA0 = .rodata:0x00000AA0; // type:object size:0xC scope:local data:string
str_00000AAC = .rodata:0x00000AAC; // type:object size:0xC scope:local data:string
str_00000AB8 = .rodata:0x00000AB8; // type:object size:0xC scope:local data:string
str_00000AC4 = .rodata:0x00000AC4; // type:object size:0xC scope:local data:string
str_00000AD0 = .rodata:0x00000AD0; // type:object size:0x10 scope:local data:string
str_00000AE0 = .rodata:0x00000AE0; // type:object size:0x10 scope:local data:string
str_00000AF0 = .rodata:0x00000AF0; // type:object size:0x8 scope:local data:string
str_00000AF8 = .rodata:0x00000AF8; // type:object size:0x8 scope:local data:string
str_00000B00 = .rodata:0x00000B00; // type:object size:0x8 scope:local data:string
str_00000B08 = .rodata:0x00000B08; // type:object size:0x8 scope:local data:string
str_00000B10 = .rodata:0x00000B10; // type:object size:0x8 scope:local data:string
str_00000B18 = .rodata:0x00000B18; // type:object size:0x8 scope:local data:string
str_00000B20 = .rodata:0x00000B20; // type:object size:0x8 scope:local data:string
str_00000B28 = .rodata:0x00000B28; // type:object size:0x8 scope:local data:string
str_00000B30 = .rodata:0x00000B30; // type:object size:0x14 scope:local data:string
str_00000B44 = .rodata:0x00000B44; // type:object size:0xC scope:local data:string
str_00000B50 = .rodata:0x00000B50; // type:object size:0x4 scope:local data:string
str_00000B54 = .rodata:0x00000B54; // type:object size:0x10 scope:local data:string
str_00000B64 = .rodata:0x00000B64; // type:object size:0x4 scope:local data:string
str_00000B68 = .rodata:0x00000B68; // type:object size:0xC scope:local data:string
str_00000B74 = .rodata:0x00000B74; // type:object size:0xC scope:local data:string
str_00000B80 = .rodata:0x00000B80; // type:object size:0x10 scope:local data:string
str_00000B90 = .rodata:0x00000B90; // type:object size:0x10 scope:local data:string
str_00000BA0 = .rodata:0x00000BA0; // type:object size:0x8 scope:local data:string
str_00000BA8 = .rodata:0x00000BA8; // type:object size:0x8 scope:local data:string
str_00000BB0 = .rodata:0x00000BB0; // type:object size:0x8 scope:local data:string
str_00000BB8 = .rodata:0x00000BB8; // type:object size:0x8 scope:local data:string
str_00000BC0 = .rodata:0x00000BC0; // type:object size:0x10 scope:local data:string
str_00000BD0 = .rodata:0x00000BD0; // type:object size:0x18 scope:local data:string
str_00000BE8 = .rodata:0x00000BE8; // type:object size:0x18 scope:local data:string
str_00000C00 = .rodata:0x00000C00; // type:object size:0x14 scope:local data:string
str_00000C14 = .rodata:0x00000C14; // type:object size:0x1C scope:local data:string
str_00000C30 = .rodata:0x00000C30; // type:object size:0xC scope:local data:string
str_00000C3C = .rodata:0x00000C3C; // type:object size:0x8 scope:local data:string
str_00000C44 = .rodata:0x00000C44; // type:object size:0x8 scope:local data:string
str_00000C4C = .rodata:0x00000C4C; // type:object size:0x8 scope:local data:string
str_00000C54 = .rodata:0x00000C54; // type:object size:0x8 scope:local data:string
str_00000C5C = .rodata:0x00000C5C; // type:object size:0x8 scope:local data:string
str_00000C64 = .rodata:0x00000C64; // type:object size:0x8 scope:local data:string
str_00000C6C = .rodata:0x00000C6C; // type:object size:0xC scope:local data:string
str_00000C78 = .rodata:0x00000C78; // type:object size:0x8 scope:local data:string
str_00000C80 = .rodata:0x00000C80; // type:object size:0x8 scope:local data:string
str_00000C88 = .rodata:0x00000C88; // type:object size:0x8 scope:local data:string
str_00000C90 = .rodata:0x00000C90; // type:object size:0x8 scope:local data:string
str_00000C98 = .rodata:0x00000C98; // type:object size:0x8 scope:local data:string
str_00000CA0 = .rodata:0x00000CA0; // type:object size:0x8 scope:local data:string
str_00000CA8 = .rodata:0x00000CA8; // type:object size:0x8 scope:local data:string
str_00000CB0 = .rodata:0x00000CB0; // type:object size:0x8 scope:local data:string
str_00000CB8 = .rodata:0x00000CB8; // type:object size:0x14 scope:local data:string
str_00000CCC = .rodata:0x00000CCC; // type:object size:0x14 scope:local data:string
str_00000CE0 = .rodata:0x00000CE0; // type:object size:0x14 scope:local data:string
str_00000CF4 = .rodata:0x00000CF4; // type:object size:0x18 scope:local data:string
zero_moo_00003dfc = .rodata:0x00000D0C; // type:object size:0x4
str_00000D10 = .rodata:0x00000D10; // type:object size:0xC scope:local data:string
str_00000D1C = .rodata:0x00000D1C; // type:object size:0x10 scope:local data:string
str_00000D2C = .rodata:0x00000D2C; // type:object size:0x10 scope:local data:string
str_00000D3C = .rodata:0x00000D3C; // type:object size:0x14 scope:local data:string
str_00000D50 = .rodata:0x00000D50; // type:object size:0x14 scope:local data:string
str_00000D68 = .rodata:0x00000D68; // type:object size:0x1C scope:local data:string
str_00000D84 = .rodata:0x00000D84; // type:object size:0x18 scope:local data:string
str_00000D9C = .rodata:0x00000D9C; // type:object size:0x18 scope:local data:string
str_00000DB4 = .rodata:0x00000DB4; // type:object size:0x14 scope:local data:string
str_00000DC8 = .rodata:0x00000DC8; // type:object size:0x1C scope:local data:string
str_00000DE4 = .rodata:0x00000DE4; // type:object size:0xC scope:local data:string
str_00000DF0 = .rodata:0x00000DF0; // type:object size:0x4 scope:local data:string
str_00000DF4 = .rodata:0x00000DF4; // type:object size:0x4 scope:local data:string
str_00000DF8 = .rodata:0x00000DF8; // type:object size:0x4 scope:local data:string
str_00000DFC = .rodata:0x00000DFC; // type:object size:0x4 scope:local data:string
str_00000E00 = .rodata:0x00000E00; // type:object size:0x4 scope:local data:string
str_00000E04 = .rodata:0x00000E04; // type:object size:0x4 scope:local data:string
str_00000E08 = .rodata:0x00000E08; // type:object size:0x4 scope:local data:string
str_00000E0C = .rodata:0x00000E0C; // type:object size:0x4 scope:local data:string
str_00000E10 = .rodata:0x00000E10; // type:object size:0x4 scope:local data:string
str_00000E14 = .rodata:0x00000E14; // type:object size:0x4 scope:local data:string
VecData$508 = .rodata:0x00000E18; // type:object size:0x78 scope:local align:4 data:float
double_to_int_moo_00003f80 = .rodata:0x00000E90; // type:object size:0x8 align:8 data:double
str_00000E98 = .rodata:0x00000E98; // type:object size:0x14 scope:local data:string
str_00000EAC = .rodata:0x00000EAC; // type:object size:0x18 scope:local data:string
str_00000EC4 = .rodata:0x00000EC4; // type:object size:0x18 scope:local data:string
str_00000EDC = .rodata:0x00000EDC; // type:object size:0x14 scope:local data:string
str_00000EF0 = .rodata:0x00000EF0; // type:object size:0x1C scope:local data:string
str_00000F0C = .rodata:0x00000F0C; // type:object size:0xC scope:local data:string
str_00000F18 = .rodata:0x00000F18; // type:object size:0x4 scope:local data:string
str_00000F1C = .rodata:0x00000F1C; // type:object size:0x4 scope:local data:string
str_00000F20 = .rodata:0x00000F20; // type:object size:0x4 scope:local data:string
str_00000F24 = .rodata:0x00000F24; // type:object size:0x4 scope:local data:string
str_00000F28 = .rodata:0x00000F28; // type:object size:0x4 scope:local data:string
str_00000F2C = .rodata:0x00000F2C; // type:object size:0x4 scope:local data:string
str_00000F30 = .rodata:0x00000F30; // type:object size:0x4 scope:local data:string
str_00000F34 = .rodata:0x00000F34; // type:object size:0x4 scope:local data:string
str_00000F38 = .rodata:0x00000F38; // type:object size:0x4 scope:local data:string
str_00000F3C = .rodata:0x00000F3C; // type:object size:0x4 scope:local data:string
dat_moo_00004030 = .rodata:0x00000F40; // type:object size:0x14
dat_moo_00004044 = .rodata:0x00000F54; // type:object size:0x14
dat_moo_00004058 = .rodata:0x00000F68; // type:object size:0x14
dat_moo_0000406c = .rodata:0x00000F7C; // type:object size:0x14
